ts_ms,x,y,state
38636,393.330,-0.019,0
38746,395.080,-0.002,0
38858,396.080,-0.022,0
38967,397.580,0.023,0
39078,399.080,0.038,0
39188,400.080,-0.001,0
39302,401.830,0.031,0
39411,403.080,0.068,0
39520,404.580,-0.037,0
39632,405.830,-0.023,0
39741,407.330,-0.003,0
39851,408.580,-0.018,0
39961,410.080,0.016,0
40074,411.330,0.004,0
40185,412.830,-0.029,0
40298,414.330,-0.030,0
40410,415.330,0.015,0
40521,417.080,0.020,0
40631,418.330,0.006,0
40744,419.830,-0.016,0
40854,421.080,-0.011,0
40965,422.580,-0.026,0
41076,424.080,0.023,0
41187,425.080,-0.015,0
41300,426.830,-0.035,0
41411,427.830,0.034,0
41520,429.580,-0.032,0
41631,430.830,0.014,0
41743,432.330,0.008,0
41857,433.830,0.010,0
41966,434.830,0.030,0
42078,436.330,-0.040,0
42191,437.830,0.015,0
42302,438.830,-0.029,0
42412,440.580,-0.027,0
42520,441.580,-0.030,0
42630,443.080,-0.001,0
42740,444.330,-0.036,0
42852,446.080,-0.048,0
42965,447.330,0.080,0
43075,448.580,0.055,0
43186,450.080,-0.057,0
43297,451.330,0.039,0
43411,453.080,0.027,0
43520,454.080,0.010,0
43630,455.580,-0.015,0
43739,456.830,-0.015,0
43850,458.580,0.010,0
43962,459.830,0.004,0
44076,461.330,0.028,0
44186,462.580,-0.028,0
44298,464.080,0.012,0
44412,465.580,0.074,0
44521,466.830,-0.005,0
44633,468.330,-0.028,0
44747,469.830,0.022,0
44856,470.830,-0.006,0
44964,472.330,-0.012,0
